"Formulation of silica/XLPE composites","hasIngredient","polyethylene"
"Formulation of silica/XLPE composites","hasIngredient","micron scale silica"
"Formulation of silica/XLPE composites","hasIngredient","nanoscale silica"
"Formulation of silica/XLPE composites","hasIngredient","antioxidants"
"Formulation of silica/XLPE composites","hasIngredient","dicumyl peroxide (DCP)"
"Formulation of silica/XLPE composites","hasIngredient","untreated nanosilica"
"Formulation of silica/XLPE composites","hasIngredient","nanosilica surface-modified with triethoxyvinylsilane (TES)"
"Formulation of silica/XLPE composites","hasIngredient","nanosilica surface-modified with n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)"
"Formulation of silica/XLPE composites","hasIngredient","nanosilica surface-modified with hexamethyldisilazane (HMDS)"
"Formulation of silica/XLPE composites","hasCondition","5 wt% of nanoparticles"
"Melt mixing","hasType","PhysicalProcess"
"Melt mixing","hasIngredient","polyethylene"
"Melt mixing","hasIngredient","particles"
"Melt mixing","hasCondition","aggregate size less than 100 nm"
"Vacuum drying of particles","hasType","PhysicalProcess"
"Vacuum drying of particles","hasIngredient","particles"
"Vacuum drying of particles","hasCondition","duration of 24 h"
"Hot pressing","hasType","PhysicalProcess"
"Hot pressing","hasCondition","slow cooling to room temperature"
"Hot pressing","hasCondition","constant pressure"
"Post-curing","hasType","PhysicalProcess"
"Post-curing","hasCondition","under vacuum"
"Metallization of samples","hasType","PhysicalProcess"
"Metallization of samples","hasIngredient","sputtered gold"
"Metallization of samples","hasCondition","thickness of ~150 Å"
"EPR measurement","hasType","PhysicalProcess"
"EPR measurement","hasExperiment","Electron Paramagnetic Resonance (EPR) measurement"
"EPR measurement","hasIngredient","powdered silica samples"
"EPR measurement","hasIngredient","cryo-crushed composites"
"EPR measurement","hasCondition","frequency in the range 9.77 GHz"
"XPS analysis","hasType","PhysicalProcess"
"XPS analysis","hasExperiment","X-ray Photoelectron Spectroscopy (XPS) analysis"
"XPS analysis","hasCondition","MgKa monochromatic radiation"
"XPS analysis","hasCondition","3 min of argon cleaning"
"XPS analysis","hasCondition","6 min of argon cleaning"
"XPS analysis","hasCondition","9 min of argon cleaning"
"XPS data analysis","hasType","ComputationalProcess"
"XPS data analysis","hasProperty","uses a linear least squares optimization with a simplex peak-fitting algorithm"
"DC breakdown strength measurement","hasType","PhysicalProcess"
"DC breakdown strength measurement","hasExperiment","DC breakdown strength measurement"
"DC breakdown strength measurement","hasIngredient","recessed specimens with gold electrodes"
"Breakdown data analysis","hasType","ComputationalProcess"
"Breakdown data analysis","hasProperty","uses a 2-parameter Weibull distribution"
"Breakdown data analysis","hasCondition","sample thickness from 0.15 mm to 0.015 mm"
"Withstand strength determination","hasType","PhysicalProcess"
"Withstand strength determination","hasExperiment","Withstand strength determination"
"Withstand strength determination","hasCondition","ramp rate of 500 V/s"
"Withstand strength determination","hasCondition","in a thermostatically controlled enclosure"
"Breakdown tests","hasType","PhysicalProcess"
"Breakdown tests","hasExperiment","Breakdown tests"
"Breakdown tests","hasCondition","temperature of 25 °C"
"Breakdown tests","hasCondition","temperature of 60 °C"
"Breakdown tests","hasCondition","temperature of 70 °C"
"Breakdown tests","hasCondition","temperature of 80 °C"
"Long-term voltage endurance tests","hasType","PhysicalProcess"
"Long-term voltage endurance tests","hasExperiment","Long-term voltage endurance tests"
"Long-term voltage endurance tests","hasIngredient","cylindrical blocks of polymer"
"Long-term voltage endurance tests","hasIngredient","cylindrical blocks of polymer nanocomposites"
"Long-term voltage endurance tests","hasIngredient","tungsten electrode"
"Long-term voltage endurance tests","hasCondition","tungsten electrode tip radius of 4 µm"
"Long-term voltage endurance tests","hasCondition","tungsten electrode tip radius of 12 µm"
"Long-term voltage endurance tests","hasCondition","inter-electrode distance of ~2 mm"
"Long-term voltage endurance tests","hasCondition","stressed with 60 Hz alternating voltage"
"Dielectric spectroscopic measurements","hasType","PhysicalProcess"
"Dielectric spectroscopic measurements","hasExperiment","Dielectric spectroscopic measurements"
"Dielectric spectroscopic measurements","hasIngredient","laminar samples"
"Dielectric spectroscopic measurements","hasCondition","temperature of 25 °C"
"Dielectric spectroscopic measurements","hasCondition","temperature of 60 °C"
"Dielectric spectroscopic measurements","hasCondition","temperature of 70 °C"
"Dielectric spectroscopic measurements","hasCondition","temperature of 80 °C"
"Dielectric spectroscopic measurements","hasCondition","sample thickness of 0.5 mm"
"Dielectric spectroscopic measurements","hasCondition","gold electrode diameter of 2.2 cm"
"TSC measurements","hasType","PhysicalProcess"
"TSC measurements","hasExperiment","Thermally stimulated current (TSC) measurements"
"TSC measurements","hasIngredient","laminar samples of thickness ~100 µm"
"TSC measurements","hasIngredient","sputtered deposited platinum electrodes"
"TSC measurements","hasCondition","poling temperature of 60 °C"
"TSC measurements","hasCondition","temperature ramp rate of 2 °C/min"
"TSC measurements","hasCondition","temperature range from 40 °C to 100 °C"
"Absorption current measurements","hasType","PhysicalProcess"
"Absorption current measurements","hasExperiment","Absorption current measurements"
"Absorption current measurements","hasIngredient","laminar samples"
"Absorption current measurements","hasCondition","sample thickness from 50 µm to 500 µm"
"Absorption current measurements","hasCondition","electric fields from 10^5 V/m to 3 * 10^7 V/m"
"Absorption current measurements","hasCondition","temperature of 298 ± 3 K"
